#%result_name=Analysis_6
#%array_type=HuGene-2_1-st
#%annotation=HuGene-2_1-st-v1.na36.hg19.transcript.csv
#%comparison=POST vs PRE
ID	POST Avg (log2)	PRE Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
16763512	6.02	6.71	-1.61	0.0573	0.5507	SLC38A1	solute carrier family 38, member 1
16701037	4.26	3.58	1.6	0.0589	0.5538	GREM2	gremlin 2, DAN family BMP antagonist
17009563	4.53	3.87	1.59	0.0596	0.5560	MIR206	microRNA 206
17095056	2.72	1.97	1.69	0.0600	0.5565	PRUNE2	prune homolog 2 (Drosophila)
16905273	6.18	5.48	1.63	0.0617	0.5613	CHRNA1	cholinergic receptor, nicotinic alpha 1
17027880	3.27	2.65	1.54	0.0639	0.5647		
17033410	3.27	2.65	1.54	0.0639	0.5647		
17038203	3.27	2.65	1.54	0.0639	0.5647		
17040798	3.27	2.65	1.54	0.0639	0.5647		
16832421	2.7	1.99	1.64	0.0661	0.5679		
16787882	4.54	5.14	-1.52	0.0689	0.5718	SERPINA5	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5
16763467	3.18	3.79	-1.53	0.0716	0.5770	PLEKHA8P1	pleckstrin homology domain containing, family A member 8 pseudogene 1
16973058	1.95	3.01	-2.09	0.0722	0.5792	KLKB1	kallikrein B1
16778625	3.66	2.91	1.68	0.0722	0.5792	LINC00390	long intergenic non-protein coding RNA 390
17017924	3.76	3.05	1.64	0.0791	0.5892	MIR3135B	microRNA 3135b
17027089	3.76	3.05	1.64	0.0791	0.5892		
17029733	3.76	3.05	1.64	0.0791	0.5892		
17042431	3.76	3.05	1.64	0.0791	0.5892		
16882553	2.12	2.82	-1.62	0.0792	0.5895	MIR4771-1; MIR4771-2	microRNA 4771-1; microRNA 4771-2
16901892	2.12	2.82	-1.62	0.0792	0.5895	MIR4771-1; MIR4771-2	microRNA 4771-1; microRNA 4771-2
17068426	6.66	5.72	1.92	0.0820	0.5968		
16776959	2.05	2.82	-1.72	0.0822	0.5969	GAS6-AS1	GAS6 antisense RNA 1
17098220	3.5	4.27	-1.71	0.0834	0.5984		
16916221	1.62	2.31	-1.61	0.0876	0.6054	TCEA2	transcription elongation factor A (SII), 2
16773032	2.45	1.84	1.53	0.0889	0.6066		
17119106	3.53	4.21	-1.61	0.0923	0.6117		
16773621	4.79	4.13	1.57	0.0924	0.6117		
17118906	4.79	4.13	1.57	0.0924	0.6117		
17019479	1.84	1.2	1.57	0.0925	0.6117		
16968403	2.12	2.79	-1.59	0.0975	0.6179		
16890701	3.66	4.5	-1.8	0.0980	0.6187	LOC101928327	uncharacterized LOC101928327
